CHSI_State_Abbr,State_Name,ALE,All_Death,Health_Status,Unhealthy_Days
AL,Alabama,74.38125,1016.79375,21.87916667,7.172916667
AR,Arkansas,74.63055556,989.6763889,22.02083333,7.172222222
AZ,Arizona,77.31428571,816.3142857,17.15,6.135714286
CA,California,77.8525,797.4125,15.79,6.43
CO,Colorado,78.68235294,773.3382353,11.22352941,5.335294118
CT,Connecticut,78.4125,765.1,11.8625,5.575
DC,District of Columbia,72,1024.9,12.2,5.4
DE,Delaware,76.26666667,867.5666667,14.06666667,6.1
FL,Florida,76.50877193,873.8140351,17.47192982,6.136842105
GA,Georgia,74.60747664,1006.400935,18.32803738,6.288785047
HI,Hawaii,79.475,672.5,13.275,4.55
IA,Iowa,78.46875,789.2114583,12.97708333,4.883333333
ID,Idaho,77.6952381,821.6404762,15.48571429,6.019047619
IL,Illinois,77.1890625,865.6953125,15.0796875,5.5375
IN,Indiana,76.425,907.825,17.19642857,6.429761905
KS,Kansas,77.39529412,843.2611765,14.36588235,5.015294118
KY,Kentucky,74.81100917,1024.551376,26.58715596,7.904587156
LA,Louisiana,74.04821429,1032.053571,20.30178571,5.757142857
MA,Massachusetts,78.41428571,800.0428571,12.31428571,5.8
MD,Maryland,76.54583333,886.5208333,13.35833333,5.808333333
ME,Maine,77.35,857.05625,14.84375,6.2
MI,Michigan,77.05909091,857.2166667,15.21212121,6.246969697
MN,Minnesota,78.97361111,757.1916667,12.40277778,5.219444444
MO,Missouri,75.9483871,932.1752688,19.78494624,6.556989247
MS,Mississippi,73.46666667,1057.268116,24.52463768,7.089855072
MT,Montana,76.86170213,875,14.64468085,5.39787234
NC,North Carolina,75.33095238,950.5821429,20.86666667,6.066666667
ND,North Dakota,77.65434783,802.926087,14.35434783,4.756521739
NE,Nebraska,78.12162162,807.7594595,14.37567568,4.868918919
NH,New Hampshire,77.94,796.73,11.36,5.58
NJ,New Jersey,77.28571429,836.7142857,14.73333333,5.785714286
NM,New Mexico,77.04333333,844.57,19.22666667,6.593333333
NV,Nevada,75.94615385,929.3230769,16.16153846,6.646153846
NY,New York,77.57068966,828.9672414,15.37931034,6.122413793
OH,Ohio,76.62962963,891.6314815,13.49444444,5.885185185
OK,Oklahoma,74.94179104,993.2865672,21.45970149,6.701492537
OR,Oregon,77.38064516,839.7225806,17.06451613,6.325806452
PA,Pennsylvania,77.13442623,851.2885246,15.7704918,6.12295082
RI,Rhode Island,78.62,772.06,12.56,5.8
SC,South Carolina,74.33636364,987.4545455,19.17727273,6.422727273
SD,South Dakota,77.14576271,833.8067797,14.49661017,4.937288136
TN,Tennessee,74.86557377,1001.732787,21.57540984,6.113114754
TX,Texas,76.23333333,914.6586667,18.60666667,6.045333333
UT,Utah,78.27307692,814.3538462,13.29615385,5.976923077
VA,Virginia,76.00315789,931.2715789,15.29578947,6.115789474
VT,Vermont,77.92857143,811.3642857,12.05,5.621428571
WA,Washington,77.84736842,812.7736842,14.68684211,6.005263158
WI,Wisconsin,78.06923077,800.8569231,12.54153846,5.643076923
WV,West Virginia,75.00384615,1006.369231,25.71730769,8.288461538
WY,Wyoming,77.19130435,861.9956522,13.07826087,5.547826087